Question,Answer
A baker has 2 muffins and bakes 10 more muffins - How many muffins does the baker have now?,twelve
There are 11 pencils in one box and 6 pencils in another box - How many pencils are there altogether?,seventeen
If 17 apples are added to 6 apples - how many apples are there in total?,twenty-three
If 4 apples are added to 15 apples - how many apples are there in total?,nineteen
A train travels 10 miles in the morning and 6 miles in the evening - What is the total distance traveled?,sixteen
If 20 apples are added to 6 apples - how many apples are there in total?,twenty-six
There are 5 pencils in one box and 16 pencils in another box - How many pencils are there altogether?,twenty-one
A store sells 12 candies and 16 candies are left - How many candies were sold in total?,twenty-eight
If 6 apples are added to 2 apples - how many apples are there in total?,eight
A store sells 20 candies and 11 candies are left - How many candies were sold in total?,thirty-one
A train travels 13 miles in the morning and 19 miles in the evening - What is the total distance traveled?,thirty-two
A baker has 17 muffins and bakes 7 more muffins - How many muffins does the baker have now?,twenty-four
A baker has 8 muffins and bakes 16 more muffins - How many muffins does the baker have now?,twenty-four
A baker has 6 muffins and bakes 17 more muffins - How many muffins does the baker have now?,twenty-three
There are 12 pencils in one box and 16 pencils in another box - How many pencils are there altogether?,twenty-eight
There are 8 pencils in one box and 15 pencils in another box - How many pencils are there altogether?,twenty-three
There are 8 pencils in one box and 19 pencils in another box - How many pencils are there altogether?,twenty-seven
Sam has 12 marbles and he loses 18 marbles - How many marbles does Sam have left?,thirty
There are 19 pencils in one box and 8 pencils in another box - How many pencils are there altogether?,twenty-seven
If 17 apples are added to 12 apples - how many apples are there in total?,twenty-nine
A store sells 19 candies and 12 candies are left - How many candies were sold in total?,thirty-one
A baker has 1 muffins and bakes 5 more muffins - How many muffins does the baker have now?,six
If 1 apples are added to 14 apples - how many apples are there in total?,fifteen
A train travels 1 miles in the morning and 4 miles in the evening - What is the total distance traveled?,five
A baker has 11 muffins and bakes 6 more muffins - How many muffins does the baker have now?,seventeen
A baker has 7 muffins and bakes 18 more muffins - How many muffins does the baker have now?,twenty-five
A store sells 11 candies and 20 candies are left - How many candies were sold in total?,thirty-one
A train travels 10 miles in the morning and 19 miles in the evening - What is the total distance traveled?,twenty-nine
Sam has 17 marbles and he loses 14 marbles - How many marbles does Sam have left?,thirty-one
If 6 apples are added to 9 apples - how many apples are there in total?,fifteen
Sam has 8 marbles and he loses 7 marbles - How many marbles does Sam have left?,fifteen
A train travels 20 miles in the morning and 10 miles in the evening - What is the total distance traveled?,thirty
Sam has 9 marbles and he loses 12 marbles - How many marbles does Sam have left?,twenty-one
A baker has 5 muffins and bakes 3 more muffins - How many muffins does the baker have now?,eight
A train travels 3 miles in the morning and 17 miles in the evening - What is the total distance traveled?,twenty
If 17 apples are added to 5 apples - how many apples are there in total?,twenty-two
There are 19 pencils in one box and 7 pencils in another box - How many pencils are there altogether?,twenty-six
A store sells 18 candies and 14 candies are left - How many candies were sold in total?,thirty-two
If 7 apples are added to 8 apples - how many apples are there in total?,fifteen
A store sells 11 candies and 20 candies are left - How many candies were sold in total?,thirty-one
There are 17 pencils in one box and 4 pencils in another box - How many pencils are there altogether?,twenty-one
A store sells 5 candies and 9 candies are left - How many candies were sold in total?,fourteen
If a shop sells 15 toys on Monday and 19 toys on Tuesday - how many toys were sold in total?,thirty-four
If a shop sells 4 toys on Monday and 16 toys on Tuesday - how many toys were sold in total?,twenty
There are 12 pencils in one box and 17 pencils in another box - How many pencils are there altogether?,twenty-nine
There are 14 pencils in one box and 12 pencils in another box - How many pencils are there altogether?,twenty-six
There are 1 pencils in one box and 14 pencils in another box - How many pencils are there altogether?,fifteen
If 2 apples are added to 16 apples - how many apples are there in total?,eighteen
A store sells 14 candies and 8 candies are left - How many candies were sold in total?,twenty-two
A store sells 9 candies and 10 candies are left - How many candies were sold in total?,nineteen
Sam has 16 marbles and he loses 1 marbles - How many marbles does Sam have left?,seventeen
A baker has 18 muffins and bakes 18 more muffins - How many muffins does the baker have now?,thirty-six
Sam has 15 marbles and he loses 16 marbles - How many marbles does Sam have left?,thirty-one
A train travels 1 miles in the morning and 5 miles in the evening - What is the total distance traveled?,six
Sam has 10 marbles and he loses 4 marbles - How many marbles does Sam have left?,fourteen
Sam has 2 marbles and he loses 12 marbles - How many marbles does Sam have left?,fourteen
A baker has 1 muffins and bakes 7 more muffins - How many muffins does the baker have now?,eight
A baker has 16 muffins and bakes 3 more muffins - How many muffins does the baker have now?,nineteen
A baker has 6 muffins and bakes 10 more muffins - How many muffins does the baker have now?,sixteen
A store sells 11 candies and 7 candies are left - How many candies were sold in total?,eighteen
There are 9 pencils in one box and 4 pencils in another box - How many pencils are there altogether?,thirteen
Sam has 17 marbles and he loses 13 marbles - How many marbles does Sam have left?,thirty
Sam has 2 marbles and he loses 11 marbles - How many marbles does Sam have left?,thirteen
Sam has 17 marbles and he loses 20 marbles - How many marbles does Sam have left?,thirty-seven
If a shop sells 19 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,twenty-seven
If 7 apples are added to 14 apples - how many apples are there in total?,twenty-one
Sam has 8 marbles and he loses 15 marbles - How many marbles does Sam have left?,twenty-three
There are 16 pencils in one box and 10 pencils in another box - How many pencils are there altogether?,twenty-six
Sam has 9 marbles and he loses 18 marbles - How many marbles does Sam have left?,twenty-seven
A baker has 15 muffins and bakes 6 more muffins - How many muffins does the baker have now?,twenty-one
Sam has 1 marbles and he loses 11 marbles - How many marbles does Sam have left?,twelve
If a shop sells 4 toys on Monday and 10 toys on Tuesday - how many toys were sold in total?,fourteen
If a shop sells 19 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,thirty-four
A baker has 2 muffins and bakes 5 more muffins - How many muffins does the baker have now?,seven
If a shop sells 9 toys on Monday and 18 toys on Tuesday - how many toys were sold in total?,twenty-seven
If 4 apples are added to 8 apples - how many apples are there in total?,twelve
